"CTKB","240403","03-Apr-24","6.45","6.59","6.39","6.56","497798","0.61","0.04","","","","","","","648242",\N,\N,\N,\N
"EVGO","240403","03-Apr-24","2.21","2.25","2.16","2.21","2143482","0.00","0.00","","","","","","","2563629",\N,\N,\N,\N
"OTLY","240403","03-Apr-24","1.1","1.11","1.06","1.07","1390422","0.00","0.00","","","","","","","1788861",\N,\N,\N,\N
"TDCX","240403","03-Apr-24","7.06","7.07","7.01","7.04","53062","-0.14","-0.01","","","","","","","230165",\N,\N,\N,\N
"SHCO","240403","03-Apr-24","5.56","5.725","5.55","5.67","121166","1.43","0.08","","","","","","","217245",\N,\N,\N,\N
"KIND","240403","03-Apr-24","2.17","2.235","2.17","2.20","422102","0.00","0.00","30.65","19.095","0.4","2001/01/01","17.9","1.2","1579707",\N,\N,\N,\N
"FBRT","240403","03-Apr-24","12.77","12.97","12.72","12.92","292089","0.54","0.07","","","","","","","299696",\N,\N,\N,\N
"EWCZ","240403","03-Apr-24","12.43","12.65","12.36","12.50","299221","-0.08","-0.01","","","","","","","496186",\N,\N,\N,\N
"STER","240403","03-Apr-24","15.86","16.04","15.85","15.92","717865","0.13","0.02","","","","","","","521876",\N,\N,\N,\N
"IE","240403","03-Apr-24","9.72","10.55","9.72","10.39","552895","6.13","0.60","","","","","","","422040",\N,\N,\N,\N
"VERV","240403","03-Apr-24","8.52","8.92","8.173","8.71","2732135","4.69","0.39","","","","","","","1139109",\N,\N,\N,\N
"HKD","240403","03-Apr-24","3.22","3.22","3.01","3.06","354204","-4.38","-0.14","","","","","","","354498",\N,\N,\N,\N
"SANA","240403","03-Apr-24","8.75","9.21","8.6","9.16","1308897","3.85","0.34","","","","","","","3203704",\N,\N,\N,\N
