"ticker","datenr","pchange","wkchange","qtrchange","yrchange","ytdchange","currrating","prevrating","changeddate","suffix","suffixdays","volchange","dchange","prevsuffix","suffixchangeddate","weeksuffix","weekprevsuffix","weeksuffixchangeddate","weeksuffixdays","dailystoploss","weeklystoploss","dailystopbuy","weeklystopbuy","2wkchange","3wkchange","mthchange","monthlystopbuy","monthlystoploss","weekhigh","weeklow"
"IAG",240328,6.11,13.59,32.75,25.37,33.79,"Strong","Mkt Perform","240325","+",1,-9.89,0.19,"","","+","","",1,3.1,2.9,3.19,3.19,9.9,7.8,30.19,2.82,2.32,,
"GDOT",240328,1.69,3.95,-8.3,-42.27,-5.71,"Mkt Perform","Weak","240325","+",1,-75.68,0.16,"","","+","","",1,8.96,8.65,9.24,9.34,1.91,6.56,13.7,9.21,7.7,,
"NWN",240328,0.93,3.12,-5.15,-21.87,-4.96,"Mkt Perform","Weak","240325","+",1,105.96,0.34,"","","+","","",1,35.75,35.76,36.7,36.74,1.82,-1.83,0.73,39.77,34.95,,
"LXRX",240328,7.31,3.98,53.59,-0.84,53.59,"Strong","Mkt Perform","240328","+",1,17.18,0.16,"","","-","","",1,1.99,2.26,2.29,2.59,-9.62,8.29,-5.62,3.73,1.85,,
"COT",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"ATU",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"AMED",240328,-0.03,0.3,-2.75,25.87,-2.77,"Mkt Perform","Weak","240325","+",5,512.2,-0.03,"","","-","","",26,92.1,90.1,92.76,93.93,-0.84,-0.74,-0.63,94.92,90.66,,
"CLS",240328,-1.42,-4.5,51.79,257.03,53.4,"Mkt Perform","Strong","240325","-",5,-3.53,-0.65,"","","+","","",1,44.51,41.5,47.14,47.26,2.15,-2.57,5.61,42.87,34.51,,
"FFG",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4704,-100,0,"","","-","","",4669,0,0,0,0,9999,9999,9999,0,0,,
"CYBR",240328,1.16,-0.71,21.04,88.17,21.54,"Mkt Perform","Strong","240325","+",3,-63.14,3.06,"","","+","","",26,260.55,254.39,267.47,277.97,2.8,0.93,0.94,283,223.09,,
"GPI",240328,0.49,2.97,-5.58,35.5,-4.17,"Mkt Perform","Weak","240320","+",1,7.66,1.43,"","","+","","",1,286.53,263.1,291.02,287.27,9.57,11.36,7.9,282.96,259.45,,
"CWT",240328,0.18,1.16,-10.96,-18.53,-9.86,"Mkt Perform","Weak","240327","+",1,206.64,0.09,"","","-","","",1,45.41,45.29,46.81,47.21,0.94,0.98,1.88,48.18,44.83,,
"HTLD",240328,1.72,1.89,-17.64,-23.97,-16.83,"Mkt Perform","Weak","240326","+",1,13.49,0.2,"","","-","","",3,11.57,11.47,11.68,11.93,0.85,-2.95,-7.2,13.34,12.25,,
"CBL",240328,0.49,3.08,-7.96,-8.95,-6.72,"Mkt Perform","Weak","240325","+",1,-79.29,0.11,"","","+","","",1,22.33,21.93,22.86,22.84,3.55,-2.02,-1.21,24.48,22.58,,
"KN",240328,1.53,3.71,-12.85,-4.32,-11,"Mkt Perform","Weak","240320","+",1,-45.82,0.24,"","","+","","",1,15.35,15.07,15.78,15.71,4.66,-3.45,-2.45,17.07,14.97,,
"AHGP",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"AJRD",240328,0,9999,9999,-100,9999,"Mkt Perform","","231211","-",933,0,0,"","","-","","",920,0,0,0,0,9999,9999,9999,0,0,,
"CBM",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"PRTY",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",1826,0,0,"","","-","","",1806,0,0,0,0,9999,9999,9999,0,0,,
"MEI",240328,2.63,0.42,-47.41,-72.01,-46.81,"Mkt Perform","Weak","240328","+",1,111.06,0.31,"","","-","","",1,11.31,11.26,11.81,12.73,-3.43,-14.38,-43.24,22.2,19.91,,
"OMAB",240328,-0.07,7.76,-7.48,-11.92,-6.72,"Mkt Perform","Weak","240322","+",3,-74.14,-0.06,"","","+","","",1,77.07,67.56,79.23,74,12.68,16.08,13.46,77.63,68.36,,
"FRME",240328,0,3.61,-7.63,2.33,-6.31,"Mkt Perform","Weak","240320","+",3,234.79,0,"","","+","","",1,33.55,32.21,34.77,34.69,5.98,0.26,4.64,35.19,32.42,,
"PRK",240328,0.6,3.73,0.44,12.63,2,"Mkt Perform","Weak","240320","+",1,450.22,0.81,"","","+","","",1,130.64,125.71,135.01,133.31,5.17,0.92,5.45,135.2,123.96,,
"ABCB",240328,0.48,2.94,-9.93,31.26,-8.82,"Mkt Perform","Weak","240318","+",1,99.75,0.23,"","","+","","",26,46.23,45.17,48.16,48.87,6.1,1.83,4.4,51.08,44.92,,
"NYRT",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"ARI",240328,1.23,-2.07,-8.46,17.66,-5.49,"Weak","Mkt Perform","240326","+",1,-65.28,0.13,"","","-","","",1,10.81,11.03,10.98,11.64,-0.49,0.5,-1.03,11.33,10.36,,
"ISCA",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"TBPH",240328,-1.66,-0.67,-21.66,-17.35,-21.17,"Weak","Mkt Perform","240328","+",5,-59.77,-0.15,"","","+","","",1,8.79,8.53,9.02,9.08,2.55,2.78,-6.44,10.11,8.21,,
"PLKI",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"AERI",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",2098,0,0,"","","-","","",2066,0,0,0,0,9999,9999,9999,0,0,,
"MGLN",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",3771,0,0,"","","-","","",3729,0,0,0,0,9999,9999,9999,0,0,,
"APOG",240328,-0.15,-0.94,9.95,38.92,10.47,"Mkt Perform","Strong","240322","+",5,-54.92,-0.09,"","","+","","",26,58.93,56.85,59.32,60.4,3.18,4.41,3.13,57.97,52.34,,
"SEAS",240328,0,9999,-100,-100,-100,"Mkt Perform","Weak","240220","-",211,-100,0,"","","-","","",162,0,0,0,0,9999,9999,9999,50.41,46.91,,
"DDD",240328,0,1.6,-32.98,-56.46,-29.92,"Mkt Perform","Weak","240327","+",1,-79.69,0,"","","-","","",26,4.31,4.25,4.49,4.77,-2.2,-11.88,7.49,5.75,3.8,,
"TTMI",240328,0.84,6.89,-2.31,20.23,-0.95,"Mkt Perform","Weak","240321","+",1,-72.27,0.13,"","","+","","",1,15.07,13.83,15.55,15.17,11.22,4.26,5.45,16.53,13.84,,
"XXIA",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"HUBG",240328,0.65,3.87,-53.89,-47.52,-52.98,"Mkt Perform","Weak","240322","+",1,-10.71,0.28,"","","+","","",1,41.6,40.52,42.99,42.43,4.83,1.67,1.65,46.42,42.3,,
"NSM",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"EVV",240328,0.2,0.41,0.93,-0.2,2.19,"Mkt Perform","Weak","240325","+",1,-21.68,0.02,"","","-","","",1,9.72,9.72,9.78,9.84,0.51,-0.41,-0.91,9.99,9.63,,
"ARLP",240328,-0.4,2.03,-3.13,-0.84,-5.05,"Mkt Perform","Weak","240325","+",4,-33.38,-0.08,"","","+","","",1,19.91,19.45,20.25,20.18,1.77,1.03,5.84,21.51,18.83,,
"MRCY",240328,0.73,5.59,-21.11,-42.47,-20.51,"Mkt Perform","Weak","240326","+",1,-33.23,0.21,"","","+","","",1,27.57,27.23,28.98,28.89,1.11,-6.47,-2.68,31.62,25.31,,
"AWR",240328,0.44,1.77,-10.98,-16.97,-9.99,"Mkt Perform","Weak","240326","+",1,274.66,0.32,"","","+","","",2,70.56,70.17,72.16,72.4,0.86,0.12,1.37,77.33,70.34,,
"FMSA",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"ATKR",240328,1.71,2.15,16.63,37.9,18.27,"Strong","Mkt Perform","240328","+",1,-59.98,3.18,"","","+","","",26,183.82,176.41,187.06,189.39,5.77,12.33,11.71,170.06,139.52,,
"CYNO",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"CMCM",240328,12.69,28.51,40.14,33.92,32.46,"Strong","Mkt Perform","240326","+",1,494.86,0.34,"","","+","","",1,2.63,2.25,2.8,2.5,23.27,15.27,14.39,2.69,1.99,,
"MPG",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"LQ",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"NAVG",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"IBP",240328,0.83,-0.19,38.75,132.49,40.85,"Mkt Perform","Strong","240325","+",1,-44.45,2.13,"","","+","","",1,253.44,236.87,257.9,260.17,7.65,8.26,7.78,239.98,191.44,,
"AAAP",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"DSW",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"WPG",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4093,0,0,"","","-","","",4065,0,0,0,0,9999,9999,9999,0,0,,
"BHE",240328,-1.29,2.76,6.2,28.39,7.81,"Mkt Perform","Weak","240325","+",5,63.39,-0.39,"","","+","","",1,29.33,27.44,30.21,29.89,0.24,-4.24,-2.96,31.09,27.65,,
"KBH",240328,1.52,3.25,12.18,75.5,13.06,"Strong","Mkt Perform","240328","+",1,28.53,1.06,"","","+","","",26,68.12,65.92,69.61,72,4.01,1.68,6.31,66.65,58.15,,
"FGEN",240328,-6.78,-6.78,164.61,-87.64,171.35,"Mkt Perform","Strong","240327","-",5,-65.55,-0.18,"","","+","","",1,2.3,1.95,2.68,2.66,15.07,33.61,40.64,2.93,1.58,,
"SOHU",240328,0.47,4.93,7.37,-23.29,7.15,"Mkt Perform","Strong","240326","+",1,-45.44,0.05,"","","+","","",1,10.4,9.65,10.6,10.29,7.15,15.03,18.75,10.1,8.79,,
"SFLY",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"SRG",240328,1.76,5,-1.29,25.39,2.19,"Mkt Perform","Weak","240321","+",1,-32.98,0.16,"","","+","","",1,9.27,8.66,9.41,9.25,6.52,1.33,1.33,9.72,9.05,,
"FN",240328,-1.24,-4.13,-4.01,66.35,-0.7,"Weak","Mkt Perform","240322","+",1,-49.74,-2.37,"","","-","","",1,186.21,186.68,191.53,207.85,-5.51,-11.92,-12.32,229.02,166.52,,
"MDR",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"FGL",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"PRAA",240328,0.31,3.4,-2.36,-31.53,-0.31,"Mkt Perform","Weak","240318","+",1,-75.48,0.08,"","","-","","",28,25.42,22.37,26.11,26.24,14.36,1.24,2.19,31.43,22.24,,
"LADR",240328,0.77,0.05,-5.11,16.49,-3.95,"Mkt Perform","Weak","240328","+",1,-71.62,0.08,"","","-","","",1,10.72,10.83,10.97,11.33,0.41,1.05,2.27,11.12,10.1,,
"TTD",240328,0.78,3.33,19.74,46.88,22.14,"Strong","Mkt Perform","240325","-",5,-67.33,0.68,"","","+","","",1,86.03,77.02,88.34,85.53,14.56,7.72,2.88,94,66.56,,
"NOAH",240328,-1.64,11.84,-12.75,-28.08,-15.53,"Mkt Perform","Weak","240327","+",5,14.31,-0.2,"","","+","","",1,11.12,9.98,12.03,10.63,14.93,7.31,4.9,12.29,11.08,,
"WWE",240328,0,9999,9999,-100,9999,"Mkt Perform","","231211","-",862,-100,0,"","","-","","",813,0,0,0,0,9999,9999,9999,0,0,,
"CVRR",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"OCLR",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"PBYI",240328,-5.2,-0.75,21.61,107.45,22.17,"Mkt Perform","Strong","240328","-",1,-70.27,-0.29,"","","+","","",1,5.38,4.14,5.74,5.55,5.8,-1.12,-14.95,7.73,4.53,,
"ARCO",240328,1.18,3.24,-12.89,46.33,-12.14,"Mkt Perform","Weak","240325","+",1,-35.48,0.13,"","","-","","",1,10.75,10.71,11.04,11.48,-1.76,-3.38,-5.99,13,11.32,,
"IRBT",240328,0.35,5.25,-77.65,-80.19,-77.73,"Mkt Perform","Weak","240327","+",2,-78.25,0.03,"","","-","","",1,7.86,7.97,8.65,9.97,-13.71,-17.27,-24.45,14.19,10,,
"UBSH",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"WDR",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"NSIT",240328,-0.89,-0.47,3.68,31.78,4.12,"Weak","Mkt Perform","240328","+",4,-78.52,-1.66,"","","-","","",1,184.33,183.05,186.45,189.64,-0.78,-0.94,-1.87,194.57,168.31,,
"SCHL",240328,-0.76,-1.45,0.58,12.6,0.72,"Weak","Mkt Perform","240327","+",5,-51.09,-0.29,"","","-","","",26,37.85,35.85,38.77,39.54,2.82,-2.62,-3.73,40.74,37.02,,
"FBC",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",2057,0,0,"","","-","","",2036,0,0,0,0,9999,9999,9999,0,0,,
"TAC",240328,-0.31,-0.46,-22.44,-23.09,-22.62,"Weak","Mkt Perform","240328","+",5,-35.31,-0.02,"","","-","","",26,6.38,6.22,6.49,6.56,1.9,-7.35,-6.4,7.5,6.76,,
"HMSY",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"AZZ",240328,0.05,-0.97,32.1,91.49,33.01,"Mkt Perform","Strong","240325","+",1,98,0.03,"","","+","","",26,76.2,72.13,77.65,82.1,6.26,8.08,6.13,74.7,62.55,,
"AIRM",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"WDFC",240328,1.57,-0.61,5.2,47.01,6.09,"Weak","Mkt Perform","240328","+",1,4.54,3.93,"","","+","","",1,248.02,246.54,252.78,256.09,1.49,0.3,-5.5,273.42,258.12,,
"WNRL",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"AXL",240328,-0.54,1.94,-17.34,-3.29,-16.69,"Mkt Perform","Weak","240327","+",1,9.48,-0.04,"","","+","","",26,7.04,6.49,7.38,7.54,11.38,9.72,6.07,8.98,6.61,,
"DK",240328,-0.1,-0.36,17.22,32.37,18.72,"Mkt Perform","Strong","240325","-",1,-37.59,-0.03,"","","+","","",1,30.52,29.13,30.98,30.91,3.83,15.58,20.07,28.91,24.53,,
"TWNK",240328,0,9999,9999,-100,9999,"Mkt Perform","","231211","-",644,0,0,"","","-","","",595,0,0,0,0,9999,9999,9999,0,0,,
"GBT",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",2310,0,0,"","","-","","",2282,0,0,0,0,9999,9999,9999,0,0,,
"MDC",240328,0.09,0.12,12.69,64.04,13.89,"Mkt Perform","Strong","240306","+",5,866.08,0.05,"","","+","","",26,62.87,62.72,62.94,62.94,0.49,0.39,0.36,62.97,62.06,,
"GNL",240328,1.31,2.25,-23.54,-38.31,-22.31,"Mkt Perform","Weak","240327","+",1,-51.27,0.1,"","","-","","",1,7.41,7.37,7.63,7.85,2.38,4.32,7.21,8.52,6.83,,
"ENV",240328,0.69,2.45,16.96,2.62,17.25,"Strong","Mkt Perform","240327","+",1,-47.48,0.4,"","","+","","",1,56.5,53.33,57.71,57.73,8.44,6.94,12.67,53.83,48.6,,
"SIMO",240328,0.51,-1.31,25.78,16.69,25.17,"Mkt Perform","Strong","240325","+",1,-78.93,0.39,"","","+","","",26,74.66,72.28,76.3,80.6,5.81,6.9,8.33,70.87,62.99,,
"BGNE",240328,0.94,2.97,-12.79,-29.41,-13.21,"Mkt Perform","Weak","240325","+",1,-79.75,1.45,"","","-","","",1,152.68,151.85,155.99,171.25,-7.92,-1.26,-5.51,179.88,132.95,,
"NTRI",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"SPH",240328,2.08,0.1,13.22,35.52,16.22,"Mkt Perform","Weak","240326","+",1,20.68,0.42,"","","-","","",62,20.04,19.39,20.49,21.1,6.34,-1.48,-0.77,21.44,18.36,,
"WMK",240328,0.16,0.14,-0.45,-23.63,0.08,"Mkt Perform","Weak","240325","+",1,139.04,0.1,"","","+","","",1,63.17,62.01,64.06,64.64,-0.68,-2.84,-1.43,65.7,58.86,,
"CORE",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4222,0,0,"","","-","","",4166,0,0,0,0,9999,9999,9999,0,0,,
"RMR",240328,0.97,1.53,-16.06,-7.25,-15.23,"Mkt Perform","Weak","240326","+",1,-68.81,0.23,"","","+","","",26,23.52,22.52,23.8,23.98,2.92,3.24,-2.21,26.49,23.87,,
"GKOS",240328,1.01,6.3,16.43,90.34,17.79,"Strong","Mkt Perform","240326","+",1,-76.1,0.94,"","","+","","",1,89.61,85.04,92.71,91.14,9.52,7.05,5.69,97.25,88.3,,
"EXLS",240328,1.57,3.49,2.68,-80.02,2.98,"Mkt Perform","Weak","240318","+",1,-60.43,0.49,"","","-","","",62,30.93,30.07,31.32,31.99,6.43,-3.11,2.09,32,29.55,,
"INFN",240328,8.17,9.96,23.91,-21.58,25.47,"Strong","Mkt Perform","240327","+",1,68.65,0.45,"","","+","","",1,5.13,4.46,5.71,5.44,31.57,28.86,18.73,5.56,4.79,,
"TVPT",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"REV",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",2240,-100,0,"","","-","","",2231,0,0,0,0,9999,9999,9999,0,0,,
"GMLP",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"INGN",240328,2.01,14.92,43.81,-31.61,48,"Strong","Mkt Perform","240325","+",1,-82.98,0.16,"","","+","","",1,7.73,6.64,8.03,7.22,17.75,7.05,22.18,10.64,5.82,,
"TPC",240328,1.32,4.99,59.67,143.38,59.67,"Strong","Mkt Perform","240326","+",1,-50.72,0.19,"","","+","","",1,13.91,12.7,14.37,14.12,13.52,14.32,28.24,12.39,8.45,,
"NBLX",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4774,0,0,"","","-","","",4739,0,0,0,0,9999,9999,9999,0,0,,
"ROG",240328,-1.63,0.29,-11.65,-22.54,-10.26,"Mkt Perform","Weak","240325","+",5,177.6,-1.96,"","","+","","",1,118.21,113.7,121.56,119.68,0.26,2.26,5.76,122.18,107.37,,
"EXPO",240328,0.67,1.87,-7.72,-15.18,-6.39,"Mkt Perform","Weak","240326","+",1,12.07,0.55,"","","+","","",2,79.81,78.49,82.1,82.59,4.09,2.21,1.88,90.09,68.7,,
"NE",240328,1,1.89,-0.31,21.68,0.91,"Mkt Perform","Weak","240325","+",1,-45.47,0.48,"","","+","","",1,47.52,46.99,48.23,48.63,2.55,10.48,16.24,45.04,41.44,,
"AXON",240328,-0.78,-0.99,21.11,44.44,21.24,"Mkt Perform","Strong","240327","-",1,-73.75,-2.45,"","","+","","",1,313.98,306.32,322.09,319.12,1.8,0.13,1.89,318.9,247.03,,
"IOSP",240328,-0.08,1.84,3.92,27.22,5.04,"Mkt Perform","Weak","240318","+",5,-79.44,-0.1,"","","+","","",1,128.81,121.21,131.18,128.6,6.05,2.76,4.17,126.47,114.16,,
"ORBK",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"MGP",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",3221,0,0,"","","-","","",3193,0,0,0,0,9999,9999,9999,0,0,,
"SUPN",240328,0.1,-2.16,14.76,-6.49,16.71,"Mkt Perform","Strong","240325","+",4,-61.63,0.03,"","","-","","",1,32.56,32.54,33.83,35.44,2.41,8.71,13.72,32.3,26.27,,
"AGRO",240328,1.05,3.9,0.05,35.77,-0.32,"Mkt Perform","Weak","240315","+",1,-56.8,0.12,"","","+","","",1,10.78,10.04,10.97,10.82,10.32,9.45,10.21,10.65,9.48,,
"INN",240328,-0.08,2.46,-5.48,-5.21,-3.79,"Mkt Perform","Weak","240318","+",1,-85.08,0,"","","-","","",62,6.37,6.16,6.52,6.53,4.27,-1.45,0.7,6.75,6.26,,
"OB",240328,0.76,7.32,-10.41,-1.49,-9.59,"Mkt Perform","Weak","240326","+",2,-88.19,0.03,"","","+","","",1,3.73,3.61,3.96,3.9,7.32,2.59,7.61,4.66,3.62,,
"REXR",240328,0.42,-1.63,-12.09,-12.66,-10.71,"Weak","Mkt Perform","240326","+",1,-13.65,0.21,"","","-","","",1,48.99,50.48,49.97,51.72,-2.57,-5.76,-1.55,54.6,49.17,,
"MTOR",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",2623,0,0,"","","-","","",2593,0,0,0,0,9999,9999,9999,0,0,,
"MTH",240328,1.78,5.88,0.21,52.05,0.87,"Mkt Perform","Weak","240320","+",1,409.64,3.08,"","","+","","",1,167.65,153.56,172.88,169.6,11.7,9.93,11.45,165.83,147.77,,
"RMBS",240328,-1.54,-1.94,-9.43,30.25,-8.97,"Weak","Mkt Perform","240328","+",4,-59.69,-0.97,"","","+","","",32,61.2,57.2,63.17,65.86,2.61,-2.56,4.88,69.89,53.11,,
"SYNT",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"CYOU",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"WABC",240328,-0.25,2.96,-14.89,7.7,-13.69,"Mkt Perform","Weak","240325","+",5,-48.89,-0.12,"","","+","","",1,47.43,46.11,48.81,48.72,3.84,0.64,6.52,48.56,43.82,,
"BANF",240328,-0.02,2.07,-12.03,4.46,-10.02,"Mkt Perform","Weak","240325","+",2,6.6,-0.02,"","","-","","",26,85.3,83.45,87.68,88.65,2.5,-1.81,-0.18,91.37,83.95,,
"OMCL",240328,0.31,5.01,-24.52,-47.17,-22.06,"Mkt Perform","Weak","240325","+",1,-56.02,0.09,"","","+","","",1,27.98,26.85,29.24,28.94,5.92,2.73,11.78,32.9,25.83,,
"FWRD",240328,2.45,5.44,-51.76,-70.71,-51.11,"Mkt Perform","Weak","240326","+",1,176.86,0.73,"","","+","","",1,29.39,26.35,30.4,29.71,9.73,1.07,-17.22,44.7,36.3,,
"KLIC",240328,1.11,1.35,-9.41,-3.26,-8.37,"Mkt Perform","Weak","240327","+",1,-39.21,0.55,"","","+","","",3,48.9,47.26,50.12,50.22,5.34,-0.93,5.29,51.29,44.78,,
"EEQ",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"BRKS",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",3941,-100,0,"","","-","","",3892,0,0,0,0,9999,9999,9999,0,0,,
"WSFS",240328,0.66,3.99,-3.49,18.53,-1.45,"Mkt Perform","Weak","240320","+",1,261.46,0.3,"","","+","","",1,43.35,41.6,45.06,44.75,8.01,3.6,6.78,45.02,40.19,,
"OTTR",240328,1.27,6.44,0.71,20.48,1.48,"Mkt Perform","Weak","240325","+",1,446.29,1.08,"","","+","","",1,82.64,80,85.26,82.07,6.67,1.46,-4.68,99.49,85,,
"ESE",240328,0.33,3.13,-9.8,15.22,-9.18,"Mkt Perform","Weak","240321","+",1,14.71,0.35,"","","+","","",1,103.83,98.7,106,104.25,5.43,5.83,4.32,105.43,96.69,,
"BL",240328,1.08,1.63,-0.71,-1.59,3.01,"Mkt Perform","Weak","240327","+",1,-68.8,0.69,"","","-","","",1,62.66,62.86,63.88,65.61,-2,-4.01,13.38,62.71,53.25,,
"BEL",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"CHSP",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"BPFH",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4531,-100,0,"","","-","","",4504,0,0,0,0,9999,9999,9999,0,0,,
"QTWO",240328,0.1,2.31,19.04,128.8,21.07,"Strong","Mkt Perform","240327","+",1,-66.1,0.05,"","","+","","",1,51.31,48.16,52.52,52.58,8.5,7.39,13.68,47.9,40.6,,
"NGD",240328,-0.3,5.97,15.41,51.8,15.41,"Strong","Mkt Perform","240328","+",1,26.41,0,"","","+","","",62,1.58,1.52,1.7,1.74,-0.88,12.33,35.89,1.31,1.09,,
"AIN",240328,-3.86,-0.54,-5.82,4.36,-5.55,"Weak","Mkt Perform","240328","-",1,18.72,-3.72,"","","+","","",1,95,91.11,96.49,94.94,0.64,-2.84,-1.17,98.73,86.99,,
"ASTE",240328,0.33,3.87,16.52,8.25,17.24,"Strong","Mkt Perform","240326","+",1,-36.32,0.15,"","","+","","",1,42.66,39.8,43.54,42.47,7.32,4.39,7.43,41.39,33.5,,
"GOV",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",4796,0,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"AINV",240328,0,9999,9999,9999,9999,"Mkt Perform","","231211","-",2576,0,0,"","","-","","",2527,0,0,0,0,9999,9999,9999,0,0,,
"NPO",240328,0.85,3.91,6.02,65.95,7.49,"Mkt Perform","Weak","240326","+",1,-34.9,1.42,"","","+","","",1,162.27,154.28,167.06,166.04,7.96,4.39,8.12,167.21,140.01,,
